title,guid,URL,price,images_link,configurate,engine,transmission,probeg,issue,taxt
"Mercedes-Benz E-Class W213, 2020",1997446,https://carskorea.shop///car/view/1997446,b'4\xc2\xa0539\xc2\xa0750',"https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299421_019.jpg?",E220d Cabriolet,Дизель,АКПП,52 000,Август 2020,Mercedes-Benz>E-Class W213>E220d Cabriolet
"Peugeot 5008 second generation, 2022",1997445,https://carskorea.shop///car/view/1997445,b'3\xc2\xa0650\xc2\xa0849',"https://ci.encar.com/carpicture/carpicture09/pic3829/38297158_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297158_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297158_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297158_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297158_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297158_008.jpg?",1.2 Pure Tech Allure,Бензин,АКПП,27 500,Декабрь 2022,Peugeot>5008 second generation>1.2 Pure Tech Allure
"Jeep Wrangler (JL), 2022",1997444,https://carskorea.shop///car/view/1997444,b'7\xc2\xa0122\xc2\xa0618',"https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_001.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_002.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_003.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_004.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_005.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_006.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_007.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_008.jpg?,https://ci.encar.com/carpicture/carpicture06/pic3826/38269637_009.jpg?",2.0 Rubicon Power Top 4 Door,Бензин,АКПП,44 000,Июль 2022,Jeep>Wrangler (JL)>2.0 Rubicon Power Top 4 Door
"BMW X7 (G07), 2021",1997443,https://carskorea.shop///car/view/1997443,b'10\xc2\xa0147\xc2\xa0407',"https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38300859_017.jpg?",xDrive 40i M Sport 6 seater,Бензин,АКПП,41 000,Апрель 2021,BMW>X7 (G07)>xDrive 40i M Sport 6 seater
"Hyundai The New Grandeur IG, 2020",1997442,https://carskorea.shop///car/view/1997442,b'2\xc2\xa0693\xc2\xa0320',"https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38299890_024.jpg?",3.0 LPi (taxi type),Газ,АКПП,129 654,Март 2020,Hyundai>The New Grandeur IG>3.0 LPi (taxi type)
"Hyundai Tucson Hybrid (NX4), 2023",1997438,https://carskorea.shop///car/view/1997438,b'4\xc2\xa0056\xc2\xa0011',"https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38297021_024.jpg?",Inspiration 2WD,Бензин + Электричество,АКПП,23 619,Ноябрь 2023,Hyundai>Tucson Hybrid (NX4)>Inspiration 2WD
"Genesis G70, 2019",1997437,https://carskorea.shop///car/view/1997437,b'7\xc2\xa0576\xc2\xa0178',"https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38292162_024.jpg?",3.3 T Sport AWD,Бензин,АКПП,75 968,Апрель 2019,Genesis>G70>3.3 T Sport AWD
"Mercedes-Benz GLC-Class X254, 2024",1997435,https://carskorea.shop///car/view/1997435,b'10\xc2\xa0410\xc2\xa0464',"https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301503_024.jpg?",AMG GLC43 4MATIC,Бензин,АКПП,912,Апрель 2024,Mercedes-Benz>GLC-Class X254>AMG GLC43 4MATIC
"BMW 7 Series (G11), 2022",1997433,https://carskorea.shop///car/view/1997433,b'9\xc2\xa0286\xc2\xa0136',"https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_001.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_002.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_003.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_004.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_005.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_006.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_007.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_008.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_009.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_010.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_015.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_016.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_017.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_018.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_019.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_020.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_021.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_022.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_023.jpg?,https://ci.encar.com/carpicture/carpicture10/pic3830/38301576_024.jpg?",730Ld xDrive,Дизель,АКПП,83 195,Август 2022,BMW>7 Series (G11)>730Ld xDrive
"Renault Korea (Samsung) The New QM6, 2023",1997428,https://carskorea.shop///car/view/1997428,b'3\xc2\xa0003\xc2\xa0686',"https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_001.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_002.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_003.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_004.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_005.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_006.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_007.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_008.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_009.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_010.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_015.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_016.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_017.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_018.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_019.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_020.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_021.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_022.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_023.jpg?,https://ci.encar.com/carpicture/carpicture09/pic3829/38290458_024.jpg?",2.0 LPe RE 2WD,Газ,АКПП,24 536,Июль 2023,Renault Korea (Samsung)>Korea (Samsung) The New QM6>2.0 LPe RE 2WD
